order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
ORD_10001,CUST_6571,PROD_513,Toys,50.35,0.0,1,Credit Card,2024-10-20 03:00:00,2,North America,No,60.34,9.99,6.41,20,Male
ORD_10002,CUST_6246,PROD_741,Electronics,105.35,0.2,1,PayPal,2023-02-05 20:00:00,2,Asia Pacific,No,89.27,4.99,30.53,36,Female
ORD_10003,CUST_8584,PROD_458,Beauty,12.46,0.2,2,Credit Card,2023-08-13 14:00:00,2,Middle East,No,34.93,14.99,6.71,24,Female
ORD_10004,CUST_3350,PROD_396,Grocery,17.59,0.25,4,Debit Card,2024-05-13 12:00:00,2,Latin America,No,62.75,9.99,17.47,36,Female
ORD_10005,CUST_3565,PROD_429,Beauty,18.36,0.15,3,Credit Card,2024-04-15 04:00:00,4,North America,No,51.82,4.99,9.82,40,Female
ORD_10006,CUST_3657,PROD_817,Fashion,117.82,0.0,1,Credit Card,2023-09-19 01:00:00,2,North America,No,117.82,0.0,15.25,44,Female
ORD_10007,CUST_6320,PROD_892,Beauty,66.84,0.2,1,Debit Card,2024-12-03 02:00:00,2,North America,No,53.47,0.0,10.59,40,Female
ORD_10008,CUST_8507,PROD_294,Beauty,41.79,0.25,1,Credit Card,2023-07-04 10:00:00,3,Middle East,No,36.33,4.99,12.35,51,Other
ORD_10009,CUST_6110,PROD_968,Fashion,117.85,0.1,2,UPI,2024-08-23 23:00:00,2,North America,Yes,212.12,0.0,49.9,31,Other
ORD_10010,CUST_6506,PROD_570,Electronics,228.71,0.15,1,Credit Card,2024-04-18 11:00:00,3,Europe,No,199.39,4.99,55.65,35,Male
ORD_10011,CUST_1256,PROD_808,Home,176.16,0.1,2,Credit Card,2024-10-29 15:00:00,2,Latin America,No,322.07,4.99,54.04,58,Male
ORD_10012,CUST_6774,PROD_771,Sports,21.02,0.15,1,Debit Card,2023-12-13 18:00:00,1,Asia Pacific,No,27.86,9.99,7.1,36,Male
ORD_10013,CUST_1716,PROD_222,Grocery,14.91,0.15,1,Credit Card,2023-03-12 05:00:00,4,Latin America,No,22.66,9.99,3.64,65,Female
ORD_10014,CUST_1759,PROD_503,Fashion,23.33,0.1,3,PayPal,2023-02-02 01:00:00,2,Asia Pacific,No,63.0,0.0,19.9,57,Male
ORD_10015,CUST_3250,PROD_686,Beauty,35.72,0.05,1,PayPal,2023-04-12 09:00:00,4,Europe,No,38.92,4.99,11.9,34,Female
ORD_10016,CUST_2046,PROD_693,Electronics,335.45,0.05,1,UPI,2023-08-10 07:00:00,4,North America,No,323.67,4.99,88.87,56,Male
ORD_10017,CUST_5834,PROD_313,Grocery,15.01,0.1,3,Credit Card,2023-07-30 11:00:00,3,North America,No,40.53,0.0,6.82,69,Female
ORD_10018,CUST_1982,PROD_590,Electronics,360.82,0.1,1,Credit Card,2023-09-25 12:00:00,5,North America,No,329.73,4.99,50.0,18,Male
