"Variable","VIF","Tolerancia","Diagnostico"
"price",2.946,0.339,"Optimo (Sin Multicolinealidad)"
"discount",1.036,0.965,"Optimo (Sin Multicolinealidad)"
"quantity",1.35,0.741,"Optimo (Sin Multicolinealidad)"
"shipping_cost",1.001,0.999,"Optimo (Sin Multicolinealidad)"
"delivery_time_days",1,1,"Optimo (Sin Multicolinealidad)"
"customer_age",1,1,"Optimo (Sin Multicolinealidad)"
"categoryElectronics",4.364,0.229,"Optimo (Sin Multicolinealidad)"
"categoryFashion",2.13,0.469,"Optimo (Sin Multicolinealidad)"
"categoryGrocery",1.384,0.722,"Optimo (Sin Multicolinealidad)"
"categoryHome",1.988,0.503,"Optimo (Sin Multicolinealidad)"
"categorySports",1.653,0.605,"Optimo (Sin Multicolinealidad)"
"categoryToys",1.417,0.706,"Optimo (Sin Multicolinealidad)"
"regionEurope",1.715,0.583,"Optimo (Sin Multicolinealidad)"
"regionLatin America",1.347,0.742,"Optimo (Sin Multicolinealidad)"
"regionMiddle East",1.25,0.8,"Optimo (Sin Multicolinealidad)"
"regionNorth America",1.775,0.563,"Optimo (Sin Multicolinealidad)"
