"Variable","Beta","Std_Error","z_value","p_value","Odds_Ratio","OR_95_CI_Lower","OR_95_CI_Upper"
"(Intercept)",-2.2896,0.1249,-18.338,"< 0.001",0.1013,0.0793,0.1294
"delivery_time_days",-0.0207,0.0152,-1.365,"0.172319",0.9795,0.9508,1.0091
"shipping_cost",-0.0016,0.0045,-0.347,"0.728655",0.9984,0.9897,1.0073
"discount",0.0387,0.1958,0.198,"0.843403",1.0394,0.7082,1.5256
"customer_age",-7e-04,0.0013,-0.511,"0.609697",0.9993,0.9968,1.0019
"price",-2e-04,2e-04,-1.265,"0.205899",0.9998,0.9994,1.0001
"categoryElectronics",0.0147,0.0982,0.15,"0.881067",1.0148,0.8372,1.2301
"categoryFashion",0.0428,0.0656,0.653,"0.513537",1.0438,0.9179,1.1869
"categoryGrocery",-0.0409,0.0958,-0.426,"0.669823",0.96,0.7956,1.1583
"categoryHome",-0.1587,0.0766,-2.072,"0.038264",0.8532,0.7343,0.9915
"categorySports",-0.0992,0.0837,-1.185,"0.236010",0.9055,0.7685,1.067
"categoryToys",0.0764,0.0887,0.862,"0.388881",1.0794,0.9072,1.2843
"regionEurope",0.0324,0.0575,0.563,"0.573349",1.0329,0.9229,1.156
"regionLatin America",-0.0341,0.077,-0.443,"0.657616",0.9665,0.8311,1.1238
"regionMiddle East",-0.0546,0.0887,-0.616,"0.537923",0.9469,0.7958,1.1265
"regionNorth America",-0.0525,0.0557,-0.941,"0.346508",0.9489,0.8507,1.0584
"payment_methodCredit Card",0.0178,0.0821,0.217,"0.828438",1.018,0.8666,1.1958
"payment_methodDebit Card",-0.03,0.087,-0.345,"0.730457",0.9705,0.8184,1.1509
"payment_methodPayPal",-0.0022,0.0892,-0.025,"0.980194",0.9978,0.8378,1.1883
"payment_methodUPI",-0.0419,0.099,-0.424,"0.671861",0.9589,0.7898,1.1643
"payment_methodWallet",0.0609,0.1159,0.526,"0.599092",1.0628,0.8469,1.3337
