"Variable","Tipo_Dato","Valores_Nulos","Valores_Unicos","Ejemplo"
"order_id","character",0,34500,"ORD_10001"
"customer_id","character",0,7895,"CUST_6571"
"product_id","character",0,899,"PROD_513"
"category","character",0,7,"Toys"
"price","numeric",0,19642,"50.35"
"discount","numeric",0,8,"0"
"quantity","integer",0,20,"1"
"payment_method","character",0,6,"Credit Card"
"order_date","character",0,15047,"2024-10-20 03:00:00"
"delivery_time_days","integer",0,6,"2"
"region","character",0,5,"North America"
"returned","character",0,2,"No"
"total_amount","numeric",0,23778,"60.34"
"shipping_cost","numeric",0,4,"9.99"
"profit_margin","numeric",0,12375,"6.41"
"customer_age","integer",0,53,"20"
"customer_gender","character",0,3,"Male"
