"Term","Estimate","Std_Error","t_value","p_value","CI_95_Lower","CI_95_Upper"
"(Intercept)",-36.6834,2.1441,-17.109,"< 0.001",-40.8859,-32.4808
"price",0.961,0.0037,256.977,"< 0.001",0.9537,0.9683
"discount",-210.173,3.9954,-52.604,"< 0.001",-218.004,-202.342
"quantity",44.5969,0.2217,201.141,"< 0.001",44.1623,45.0315
"shipping_cost",1.0101,0.0899,11.237,"< 0.001",0.8339,1.1863
"delivery_time_days",-0.3006,0.3002,-1.001,"0.316675",-0.8891,0.2878
"customer_age",-0.0486,0.026,-1.866,"0.061981",-0.0997,0.0024
"categoryElectronics",-2.1797,2.0179,-1.08,"0.280089",-6.1349,1.7756
"categoryFashion",41.9285,1.3431,31.219,"< 0.001",39.2961,44.561
"categoryGrocery",-75.8078,1.9471,-38.934,"< 0.001",-79.6242,-71.9915
"categoryHome",50.3522,1.5336,32.833,"< 0.001",47.3463,53.3581
"categorySports",36.9369,1.6866,21.9,"< 0.001",33.6311,40.2427
"categoryToys",-10.5183,1.8498,-5.686,"< 0.001",-14.144,-6.8927
"regionEurope",-0.8672,1.1644,-0.745,"0.456435",-3.1495,1.4151
"regionLatin America",-0.9381,1.5366,-0.611,"0.541515",-3.9499,2.0737
"regionMiddle East",-3.5655,1.7556,-2.031,"0.042272",-7.0066,-0.1244
"regionNorth America",-1.0178,1.1138,-0.914,"0.360824",-3.2009,1.1653
